name,quantity,price
iPod_5_Storage,5,43
Lenovo_Elyis2_Sensors,5,1
Lenovo_T500_Keyboard,4,17
Mac_Mini2012_Sensors,4,60
Mac_MB15_Battery,13,28
Lenovo_T420_ChargingModule,7,18
Lenovo_T1250_Sensors,15,71
Nexus_3_Camera,1,57
Mac_2010_LogicBoard,18,20
Mac_MBA13-14_Storage,11,61
Lenovo_T330_Battery,20,41
iPad_Mini2_AmbientLightSensor,13,29
Mac_Mini2012_Battery,19,82
Mac_MBRP15-13_Battery,7,68
Mac_MBA13-14_Keyboard,16,16
iPhone_5_CellularModule,1,91
Lenovo_T1250_GeneralButtons,14,37
Nexus_5X_Sensors,13,6
iPad_Air2_Storage,11,21
Mac_MBRP13-13_Sensors,7,28
Nexus_5_Screen,8,16
Chromebook_Pixel2_Battery,15,79
Lenovo_Elyis2_Network,12,88
Mac_2014_Camera,2,28
Mac_2010_Battery,2,21
iPad_4_Screen,20,37
Mac_MBA13-13_AmbientLightSensor,15,96
iPad_2_CellularModule,3,91
Mac_MBA13-13_Touchpad,10,20
Lenovo_T530_Battery,13,54
Lenovo_T1250_Battery,12,69
Lenovo_T350_Network,8,52
Lenovo_T600_Sensors,18,72
Mac_Pro2015_AmbientLightSensor,17,26
Lenovo_TP1260_GeneralButtons,6,86
iPod_nano4_Screen,19,25
Mac_2012_Battery,19,39
Lenovo_T450_LogicBoard,2,58
Mac_MBA13-13_Storage,1,9
Mac_MBA13-13_ChargingModule,10,49
Mac_Pro2011_Touchpad,11,34
iPod_classic_LogicBoard,13,48
iPad_Pro2_Camera,19,74
Lenovo_T310_Touchpad,17,52
Nexus_5_Sensors,2,14
iPad_Mini3_ChargingModule,3,23
Lenovo_TP1260_Touchpad,13,8
Lenovo_T330_Keyboard,5,36
Nexus_4_Camera,8,27
iPhone_6s_Battery,10,98
iPhone_5s_Battery,10,61
iPhone_6s+_ChargingModule,2,33
iPhone_6+_Network,18,83
Mac_2011_Camera,16,68
Lenovo_T410_Battery,16,60
Chromebook_Pixel2_AmbientLightSensor,3,36
Mac_MBPR13-14_AmbientLightSensor,17,32
Lenovo_Yoga_WiredNetwork,10,36
Mac_2010_Network,16,29
Mac_Pro2013_Keyboard,8,42
iPod_3_Network,1,78
Mac_MBA11-15_Screen,19,86
iPod_nano6_Battery,11,78
Mac_MBPR13-14_LogicBoard,10,41
Nexus_5X_Battery,10,96
Mac_MBRP13-15_Network,2,77
Mac_MBP13-12_LogicBoard,10,15
Mac_MBP15-12_LogicBoard,14,13
Lenovo_T320_Camera,10,14
Lenovo_T530_Storage,17,16
Mac_MBP13-12_Battery,12,51
iPod_classic_Battery,4,97
Lenovo_Elyis2_AmbientLightSensor,18,11
iPad_Mini3_Network,19,0
Lenovo_T500_Battery,17,58
iPhone_5s_Camera,1,54
Nexus_5X_GeneralButtons,5,38
Lenovo_T440_Storage,5,27
Lenovo_T1250_AmbientLightSensor,8,84
iPhone_6_Screen,13,60
iPad_3_Network,2,67
Lenovo_T450_Screen,8,49
Nexus_3_LogicBoard,12,46
Mac_MBP17-12_Battery,17,80
iPhone_4_Sensors,17,81
Lenovo_T330_GeneralButtons,4,18
Lenovo_T500_AmbientLightSensor,7,48
Lenovo_T450_AmbientLightSensor,6,52
Lenovo_T1260_Keyboard,6,20
Mac_2015_Camera,16,44
Nexus_4_Network,13,96
Nexus_4_Screen,1,76
iPhone_4_GeneralButtons,2,53
iPad_Mini3_GeneralButtons,3,86
Mac_2012_GeneralButtons,15,55
Lenovo_T350_Touchpad,1,24
Lenovo_T420_AmbientLightSensor,17,32
Mac_MBA11-13_GeneralButtons,3,50
iPhone_6_Storage,14,45
iPad_Air2_Network,20,20
Mac_Mini2011_GeneralButtons,18,82
Mac_Mini2011_Sensors,2,37
iPad_4_Network,1,42
Mac_Pro2011_LogicBoard,19,29
iPad_3_LogicBoard,18,54
iPad_Mini4_AmbientLightSensor,2,46
Lenovo_Elyis2_Storage,6,59
Mac_MB15_LogicBoard,19,27
Mac_MBA13-13_Screen,6,46
iPad_Mini4_GeneralButtons,14,47
Mac_MB15_GeneralButtons,11,16
Mac_MBP15-12_Camera,15,33
Mac_MBA11-13_AmbientLightSensor,11,14
Mac_MB15_Storage,10,83
Lenovo_T610_Battery,12,6
Mac_MBA11-15_Camera,16,41
Lenovo_Yoga_ChargingModule,2,89
iPad_Mini3_AmbientLightSensor,13,20
iPod_classic_Screen,12,44
Lenovo_T320_LogicBoard,11,37
iPhone_5c_Storage,5,28
Mac_2013_Screen,1,98
Nexus_5X_LogicBoard,7,46
Mac_MBP17-12_ChargingModule,13,6
iPod_3_Camera,9,64
Nexus_3_Screen,6,70
iPad_Mini3_Screen,10,21
Lenovo_T600_Battery,5,59
Mac_Pro2015_WiredNetwork,7,97
Chromebook_Pixel_GeneralButtons,15,60
Lenovo_T610_Network,20,13
Mac_2010_Storage,13,19
Mac_MB15_Keyboard,13,43
iPod_nano2_Network,1,39
Mac_Mini2015_Storage,4,55
Mac_2010_WiredNetwork,17,23
Lenovo_T350_ChargingModule,13,13
Mac_MBPR15-14_GeneralButtons,8,70
Mac_2011_WiredNetwork,20,15
Lenovo_T330_Touchpad,14,36
Lenovo_T310_WiredNetwork,13,87
iPhone_6s_ChargingModule,7,74
iPhone_4s_Screen,8,84
Lenovo_T600_Network,18,1
Lenovo_T1260_LogicBoard,20,4
iPad_Air2_Sensors,16,82
Lenovo_T1260_Storage,15,17
iPad_Pro_LogicBoard,2,96
Mac_MBPR13-14_Network,8,66
iPhone_5_Battery,12,42
Mac_MBP17-12_Sensors,5,63
Chromebook_Pixel_Storage,11,88
Chromebook_Pixel_WiredNetwork,1,51
iPhone_6s_LogicBoard,4,1
iPad_2_ChargingModule,20,66
Lenovo_T450_Sensors,16,45
Mac_MBRP13-15_Battery,10,38
Lenovo_T410_ChargingModule,19,1
Mac_MBP17-12_WiredNetwork,18,34
Lenovo_Elyis2_Keyboard,5,1
Chromebook_Pixel2_LogicBoard,19,42
Lenovo_T530_AmbientLightSensor,19,0
Nexus_5X_CellularModule,6,7
iPod_nano3_Screen,18,47
Lenovo_T530_WiredNetwork,15,65
iPhone_4_LogicBoard,11,2
iPod_nano5_LogicBoard,5,87
Mac_MBA11-14_Camera,9,68
Lenovo_T600_Keyboard,7,91
iPad_Air2_LogicBoard,14,2
Lenovo_T500_ChargingModule,7,27
Lenovo_Elyis2_GeneralButtons,16,78
Lenovo_T320_Network,19,82
iPhone_6s+_Storage,2,80
Mac_Pro2011_Keyboard,6,35
Mac_MBA11-14_GeneralButtons,4,40
iPhone_6_LogicBoard,16,10
iPhone_4s_CellularModule,17,82
iPhone_6_ChargingModule,4,47
Nexus_6P_Sensors,8,17
iPhone_6s_GeneralButtons,19,87
iPad_2_Battery,16,91
Mac_MBP17-12_Network,6,92
Lenovo_T1260_ChargingModule,5,34
Lenovo_T500_GeneralButtons,16,56
iPad_Air_Sensors,11,72
Nexus_5_Storage,18,11
Mac_MBP17-12_Keyboard,12,82
iPod_nano6_Sensors,17,21
Chromebook_Pixel_Camera,6,74
Lenovo_T610_Keyboard,2,79
Lenovo_Yoga_Screen,2,77
iPad_Pro2_LogicBoard,13,25
Mac_2012_Touchpad,2,57
iPod_3_Screen,2,75
Lenovo_T610_Storage,3,88
Lenovo_T530_Network,17,32
Mac_MBA11-13_WiredNetwork,2,25
Lenovo_T320_Battery,15,60
Mac_MBA11-13_Storage,14,5
iPod_nano6_Camera,13,64
iPod_5_ChargingModule,17,64
Lenovo_T1260_Sensors,17,31
iPhone_5_Sensors,16,96
Lenovo_T310_AmbientLightSensor,5,50
Mac_Mini2012_Screen,18,50
iPod_5_AmbientLightSensor,2,97
iPhone_6+_Battery,20,11
Lenovo_T1260_Network,13,51
Mac_2014_ChargingModule,19,61
iPod_nano5_AmbientLightSensor,13,85
Mac_MBP17-12_GeneralButtons,9,54
Lenovo_T350_WiredNetwork,17,44
Mac_2013_AmbientLightSensor,19,80
Lenovo_Yoga2Elyis1_Touchpad,1,4
Mac_MBRP13-13_AmbientLightSensor,19,91
Lenovo_T1250_Keyboard,15,99
iPad_Pro2_AmbientLightSensor,19,43
iPod_nano_Battery,5,89
Mac_MBA11-14_Touchpad,20,41
Mac_Mini2012_Network,18,18
Mac_MBA13-14_Network,14,80
Nexus_3_Sensors,13,57
Mac_2013_LogicBoard,19,29
Mac_MBRP15-13_Keyboard,2,98
Mac_MBRP15-13_Camera,18,32
Lenovo_T430_Keyboard,6,78
iPod_nano4_GeneralButtons,20,27
Lenovo_T340_LogicBoard,2,54
iPad_Mini4_Camera,9,11
Lenovo_Yoga2Elyis1_WiredNetwork,3,51
Lenovo_T610_Camera,11,0
Mac_Pro2013_WiredNetwork,16,45
Mac_2011_Battery,3,78
Mac_MBRP13-15_AmbientLightSensor,17,16
Chromebook_Pixel2_WiredNetwork,19,36
Lenovo_Elyis2_Battery,15,83
Mac_Pro2015_Camera,2,38
iPad_Mini3_Sensors,20,61
Lenovo_T410_WiredNetwork,16,57
Lenovo_T440_AmbientLightSensor,3,46
Mac_Mini2011_Battery,15,76
Mac_MBA11-13_ChargingModule,14,47
Lenovo_T420_LogicBoard,18,59
iPad_2_Camera,3,25
Lenovo_T500_WiredNetwork,9,29
Mac_MBP17-12_Touchpad,18,20
iPod_nano5_ChargingModule,18,38
Nexus_6P_CellularModule,3,89
Mac_MBPR13-14_Camera,14,77
Mac_2015_GeneralButtons,13,47
Mac_MBRP15-13_Touchpad,11,18
Mac_MBA11-15_Battery,2,98
Lenovo_T320_Sensors,10,99
Lenovo_T510_Battery,11,74
Lenovo_T600_Screen,2,53
iPod_nano4_Sensors,7,79
Lenovo_T310_Keyboard,10,70
Lenovo_Yoga_Storage,16,2
iPod_4_LogicBoard,6,17
Mac_2012_ChargingModule,6,48
Lenovo_T1260_Battery,10,50
iPad_Mini2_GeneralButtons,19,59
Chromebook_Pixel2_Network,10,30
Mac_Mini2011_Network,7,85
Lenovo_T610_Sensors,9,44
iPhone_6+_ChargingModule,7,80
iPod_nano5_Screen,7,99
Nexus_6P_GeneralButtons,1,31
iPod_5_Battery,14,61
iPad_2_LogicBoard,3,64
Mac_MBA11-15_Storage,7,95
iPod_nano5_Sensors,20,84
iPod_5_Network,16,19
iPad_4_Camera,13,75
Lenovo_T320_ChargingModule,5,95
Chromebook_Pixel_Touchpad,20,44
Lenovo_Yoga2Elyis1_AmbientLightSensor,6,32
iPad_Air_Storage,9,68
Mac_MBA13-13_Storage,6,64
iPod_nano6_Network,6,39
Mac_2014_Keyboard,13,57
Lenovo_Yoga2Elyis1_Screen,11,59
Mac_MBA11-13_LogicBoard,4,59
Lenovo_T340_Screen,15,30
Lenovo_T410_Network,11,77
Mac_Mini2011_Keyboard,7,39
Lenovo_T530_ChargingModule,10,77
iPhone_5c_AmbientLightSensor,8,32
Mac_MBP13-12_GeneralButtons,12,58
iPod_nano_LogicBoard,6,62
iPod_nano6_Storage,17,12
Mac_MBA13-13_GeneralButtons,16,59
iPad_4_LogicBoard,20,73
Lenovo_T310_Sensors,5,68
Mac_Pro2011_WiredNetwork,17,47
Lenovo_TP1260_WiredNetwork,2,89
Chromebook_Pixel_LogicBoard,18,93
Lenovo_T320_AmbientLightSensor,11,49
Lenovo_T450_Battery,5,63
Mac_MBA11-13_Keyboard,7,18
Lenovo_T430_Camera,16,23
Mac_MBA11-13_Touchpad,6,13
Nexus_6P_Storage,10,77
iPad_Pro_Sensors,15,90
Mac_Pro2015_GeneralButtons,2,88
Chromebook_Pixel_Screen,1,86
Mac_MBP13-12_Sensors,8,85
Nexus_3_GeneralButtons,16,80
iPod_classic_ChargingModule,2,50
iPad_Air_ChargingModule,15,43
Mac_MBA13-13_AmbientLightSensor,1,49
Mac_2012_Sensors,4,68
iPad_Pro2_Battery,12,84
Mac_2015_LogicBoard,9,69
Mac_MBA13-14_WiredNetwork,1,35
Lenovo_TP1260_Storage,3,35
iPad_Air_AmbientLightSensor,16,95
Chromebook_Pixel2_Storage,16,11
iPad_2_Storage,4,66
Lenovo_T320_Touchpad,2,91
Lenovo_TP1260_Camera,18,37
Lenovo_T440_Camera,16,60
iPad_Air2_Battery,18,61
Mac_Mini2015_Keyboard,6,54
iPhone_5_ChargingModule,16,86
Mac_Pro2013_Camera,18,73
Mac_Mini2015_Screen,4,78
Lenovo_T610_LogicBoard,18,83
iPod_nano_Camera,12,93
iPad_Air_Battery,14,43
Lenovo_T1260_Screen,11,63
Mac_MBRP13-15_LogicBoard,16,35
iPhone_6s_Sensors,11,15
Mac_Pro2011_Sensors,17,31
Mac_Pro2015_ChargingModule,13,5
Mac_Pro2011_Battery,3,33
iPhone_5c_Sensors,19,59
Lenovo_T510_WiredNetwork,12,7
iPod_nano4_Battery,12,35
Mac_MBA13-14_ChargingModule,11,11
iPod_3_Battery,7,6
Lenovo_T420_Camera,11,96
Mac_2014_GeneralButtons,18,58
Mac_MBP17-12_AmbientLightSensor,18,23
Mac_MBRP13-15_Screen,18,61
iPod_3_ChargingModule,15,19
Nexus_4_LogicBoard,14,79
Mac_2014_Battery,3,56
iPad_Mini2_LogicBoard,20,13
Lenovo_T1250_Touchpad,1,17
Lenovo_T450_Storage,9,72
Mac_Pro2011_Network,14,80
Lenovo_T430_Touchpad,1,72
iPod_nano2_AmbientLightSensor,18,8
Lenovo_T510_Screen,14,8
Mac_2013_Touchpad,10,6
iPod_nano2_ChargingModule,5,0
Mac_MBRP13-13_LogicBoard,4,37
iPad_Pro2_Network,18,77
Lenovo_T410_Touchpad,5,55
iPhone_5s_Sensors,3,31
iPod_nano_AmbientLightSensor,11,18
Mac_MBA11-14_Storage,10,76
Lenovo_T610_Touchpad,7,26
Mac_2014_Storage,8,36
iPad_Air2_Camera,2,25
iPad_Pro_Storage,5,81
Mac_MBP15-12_Network,1,66
Lenovo_T600_AmbientLightSensor,18,4
iPhone_5c_Screen,8,99
Lenovo_Elyis2_LogicBoard,1,16
Mac_MBA13-14_Touchpad,8,12
iPhone_5s_LogicBoard,13,21
Mac_MBP15-12_GeneralButtons,4,69
Lenovo_T310_Screen,15,5
iPhone_4_Screen,6,2
Lenovo_T350_Keyboard,10,93
iPad_Mini2_CellularModule,12,79
Nexus_5X_Camera,4,74
iPhone_5c_Battery,9,92
Lenovo_T440_LogicBoard,9,46
Mac_Pro2011_GeneralButtons,6,60
Mac_2011_LogicBoard,14,40
Mac_MBRP13-15_GeneralButtons,17,34
Mac_MBA11-14_LogicBoard,19,96
Lenovo_T1250_Screen,19,55
Mac_MBRP13-13_WiredNetwork,5,46
Lenovo_T350_Screen,20,67
iPad_3_Storage,20,51
Mac_2011_Network,19,51
iPad_Pro2_Screen,6,92
Lenovo_T530_LogicBoard,12,54
Mac_MBA13-14_Battery,15,65
Lenovo_T430_GeneralButtons,12,92
Mac_MBA13-13_Screen,11,94
iPhone_6s+_Camera,9,77
Mac_Mini2012_Keyboard,4,27
Mac_MBA13-13_Battery,10,39
iPod_nano_Sensors,13,29
Lenovo_T430_WiredNetwork,2,93
Mac_MBRP13-15_WiredNetwork,13,90
Mac_2014_Screen,20,30
Mac_Pro2013_AmbientLightSensor,4,90
Lenovo_TP1260_AmbientLightSensor,19,8
Mac_MBP13-12_Camera,7,7
Lenovo_Yoga2Elyis1_Storage,9,97
iPad_Pro_CellularModule,13,12
Mac_Mini2015_Touchpad,18,75
Mac_MBP15-12_Sensors,1,79
Mac_2013_ChargingModule,16,61
Lenovo_Yoga_Touchpad,3,94
Chromebook_Pixel2_ChargingModule,10,27
Mac_MBP15-12_WiredNetwork,2,54
Mac_MBPR13-14_Touchpad,16,66
Mac_2010_Screen,18,85
Mac_MBA11-14_WiredNetwork,9,69
Mac_MBP15-12_ChargingModule,17,22
Mac_Pro2015_Battery,13,41
Mac_2011_GeneralButtons,1,66
Lenovo_T310_GeneralButtons,1,62
Lenovo_Elyis2_Screen,5,3
Chromebook_Pixel_Sensors,18,70
iPad_Mini4_CellularModule,3,92
Nexus_6P_Network,11,61
Chromebook_Pixel_Network,17,11
iPhone_6_Battery,11,81
Nexus_3_Storage,5,63
Lenovo_T410_AmbientLightSensor,7,83
Lenovo_T440_Screen,7,37
Lenovo_T430_Network,11,2
Nexus_3_Network,19,13
Lenovo_TP1260_Sensors,14,24
Nexus_5X_AmbientLightSensor,5,80
iPhone_6_Sensors,2,51
iPhone_4s_Sensors,6,88
Lenovo_T610_AmbientLightSensor,19,40
Lenovo_T410_GeneralButtons,20,64
Lenovo_T420_GeneralButtons,14,60
iPhone_6s+_Sensors,5,69
iPad_Mini2_Sensors,6,74
Lenovo_T510_AmbientLightSensor,8,20
Mac_MBRP13-13_Storage,13,59
Lenovo_Yoga2Elyis1_ChargingModule,20,69
iPod_nano_Screen,8,17
Lenovo_T440_GeneralButtons,15,69
Mac_2014_LogicBoard,11,90
Mac_MBPR13-14_ChargingModule,1,69
Lenovo_T1260_Touchpad,12,27
Mac_2015_AmbientLightSensor,9,75
Mac_MBPR13-14_Keyboard,8,94
Lenovo_TP1260_Battery,16,40
Mac_Pro2013_Screen,15,60
Lenovo_T440_Network,16,34
Lenovo_Yoga_LogicBoard,9,68
Lenovo_T600_ChargingModule,18,24
Mac_MBPR15-14_Screen,12,82
Lenovo_T1250_ChargingModule,15,91
iPod_5_LogicBoard,18,46
Mac_MBA11-15_ChargingModule,16,5
Lenovo_T330_WiredNetwork,20,80
Mac_MBRP13-15_Touchpad,5,48
Mac_2013_Sensors,19,40
Mac_2015_Screen,7,32
Mac_2010_AmbientLightSensor,7,3
Mac_Mini2015_Battery,11,32
iPod_5_GeneralButtons,3,55
Mac_Pro2015_Sensors,19,59
iPhone_4_Storage,18,90
Mac_MBP13-12_Storage,18,50
iPad_3_GeneralButtons,2,39
Lenovo_T600_Storage,5,11
Mac_2012_Network,8,64
iPad_Mini3_Storage,1,99
Lenovo_T510_Storage,10,45
iPad_Pro_Camera,10,65
Nexus_5_CellularModule,1,97
Lenovo_T350_LogicBoard,2,61
iPhone_5_Storage,15,63
iPad_4_GeneralButtons,10,53
Lenovo_T350_Sensors,15,14
Mac_MBPR13-14_WiredNetwork,1,66
Mac_MBP15-12_Storage,4,78
Mac_MBRP15-13_LogicBoard,11,93
Nexus_6P_Screen,14,26
Lenovo_T500_Storage,12,28
Mac_MBRP15-13_Screen,11,86
Mac_MBRP15-13_GeneralButtons,19,75
iPad_4_CellularModule,1,71
Lenovo_T330_Camera,14,25
Lenovo_TP1260_Keyboard,11,46
Mac_2011_AmbientLightSensor,4,74
Mac_MBRP15-13_ChargingModule,13,31
Mac_MBA11-15_WiredNetwork,19,62
iPhone_6s+_Network,11,68
iPhone_4_ChargingModule,17,62
iPod_3_GeneralButtons,11,18
Mac_Pro2011_Camera,5,48
Mac_MBP15-12_AmbientLightSensor,19,76
Mac_MBA11-14_AmbientLightSensor,7,67
iPod_4_AmbientLightSensor,19,78
Nexus_5_Camera,8,62
iPhone_4s_Battery,5,52
Lenovo_T500_Touchpad,6,45
Mac_Pro2011_Screen,12,62
Nexus_4_Sensors,5,92
Mac_2012_Camera,11,86
iPhone_5s_Storage,1,10
Lenovo_T420_Storage,13,42
Mac_Pro2013_GeneralButtons,8,87
iPad_Pro2_GeneralButtons,5,67
