dt_id,dm_id,inv_id,descr,open_date
11,4,913,sample description sorry,209
7,1,879,sample description sorry,371
5,1,855,sample description sorry,32
10,4,780,sample description sorry,290
11,1,702,sample description sorry,616
6,1,993,sample description sorry,660
10,4,430,sample description sorry,600
7,7,402,sample description sorry,565
2,1,9,sample description sorry,658
4,4,513,sample description sorry,427
10,2,266,sample description sorry,536
7,2,485,sample description sorry,458
10,1,428,sample description sorry,56
6,6,785,sample description sorry,621
4,7,970,sample description sorry,205
3,3,138,sample description sorry,332
5,5,568,sample description sorry,318
2,1,791,sample description sorry,489
9,5,278,sample description sorry,287
8,1,82,sample description sorry,430
8,4,214,sample description sorry,282
11,3,618,sample description sorry,328
4,6,623,sample description sorry,282
2,4,273,sample description sorry,537
7,5,778,sample description sorry,81
6,2,757,sample description sorry,502
10,6,152,sample description sorry,25
5,4,630,sample description sorry,513
1,1,49,sample description sorry,166
6,7,687,sample description sorry,523
10,4,198,sample description sorry,446
10,3,267,sample description sorry,574
10,5,941,sample description sorry,305
7,7,526,sample description sorry,440
5,7,400,sample description sorry,456
1,5,684,sample description sorry,98
10,6,125,sample description sorry,398
7,4,196,sample description sorry,632
4,7,404,sample description sorry,257
8,1,622,sample description sorry,278
3,1,1003,sample description sorry,677
3,6,842,sample description sorry,129
8,2,17,sample description sorry,6
3,4,383,sample description sorry,130
2,2,970,sample description sorry,457
3,6,800,sample description sorry,694
3,5,722,sample description sorry,571
10,4,97,sample description sorry,399
6,1,574,sample description sorry,553
9,6,86,sample description sorry,176
10,3,424,sample description sorry,241
10,6,515,sample description sorry,203
10,5,454,sample description sorry,32
4,5,250,sample description sorry,508
1,6,993,sample description sorry,657
6,5,223,sample description sorry,533
11,3,129,sample description sorry,512
8,6,112,sample description sorry,623
1,3,533,sample description sorry,476
4,6,3,sample description sorry,12
2,3,881,sample description sorry,21
8,6,499,sample description sorry,378
1,3,87,sample description sorry,647
9,7,916,sample description sorry,261
11,3,724,sample description sorry,168
11,6,573,sample description sorry,493
5,6,791,sample description sorry,48
2,7,211,sample description sorry,503
5,5,644,sample description sorry,19
4,5,763,sample description sorry,117
11,1,83,sample description sorry,612
2,4,752,sample description sorry,1
11,5,999,sample description sorry,455
7,6,93,sample description sorry,98
2,2,479,sample description sorry,625
11,7,489,sample description sorry,9
10,2,255,sample description sorry,413
2,1,998,sample description sorry,175
10,2,303,sample description sorry,684
7,3,253,sample description sorry,621
3,2,817,sample description sorry,264
5,6,140,sample description sorry,483
8,7,46,sample description sorry,215
6,4,813,sample description sorry,607
6,5,218,sample description sorry,123
7,5,532,sample description sorry,501
9,1,659,sample description sorry,166
10,6,692,sample description sorry,123
1,4,930,sample description sorry,109
4,2,683,sample description sorry,59
6,3,853,sample description sorry,354
11,7,716,sample description sorry,408
11,7,480,sample description sorry,595
1,1,256,sample description sorry,266
4,3,363,sample description sorry,326
2,7,626,sample description sorry,569
2,3,385,sample description sorry,478
2,6,124,sample description sorry,545
9,7,223,sample description sorry,175
8,2,872,sample description sorry,295
1,5,968,sample description sorry,343
2,4,895,sample description sorry,370
4,5,71,sample description sorry,373
3,4,9,sample description sorry,168
4,7,283,sample description sorry,111
11,1,808,sample description sorry,518
5,1,971,sample description sorry,118
3,4,490,sample description sorry,471
10,4,759,sample description sorry,156
2,2,580,sample description sorry,189
6,4,149,sample description sorry,250
10,1,691,sample description sorry,129
7,6,575,sample description sorry,428
10,6,667,sample description sorry,623
2,4,585,sample description sorry,361
4,6,94,sample description sorry,142
4,7,675,sample description sorry,133
11,7,797,sample description sorry,282
7,2,132,sample description sorry,642
3,2,123,sample description sorry,542
6,7,543,sample description sorry,198
5,5,29,sample description sorry,595
2,4,887,sample description sorry,133
3,3,527,sample description sorry,291
11,3,934,sample description sorry,286
5,7,998,sample description sorry,156
8,7,211,sample description sorry,312
4,2,179,sample description sorry,107
5,1,504,sample description sorry,10
2,3,789,sample description sorry,106
3,7,601,sample description sorry,485
9,6,721,sample description sorry,224
6,1,273,sample description sorry,389
6,5,68,sample description sorry,124
2,3,624,sample description sorry,571
7,1,104,sample description sorry,170
7,4,383,sample description sorry,155
9,4,337,sample description sorry,454
7,6,524,sample description sorry,548
1,6,336,sample description sorry,441
7,6,337,sample description sorry,35
6,1,53,sample description sorry,156
10,2,55,sample description sorry,524
5,5,847,sample description sorry,647
9,6,176,sample description sorry,74
2,6,681,sample description sorry,116
9,4,895,sample description sorry,436
10,5,651,sample description sorry,623
8,3,88,sample description sorry,182
9,3,993,sample description sorry,680
9,3,88,sample description sorry,564
6,7,791,sample description sorry,136
8,3,686,sample description sorry,104
9,2,276,sample description sorry,130
11,6,535,sample description sorry,320
9,2,102,sample description sorry,145
2,1,989,sample description sorry,261
8,3,975,sample description sorry,283
9,1,627,sample description sorry,209
7,1,508,sample description sorry,505
4,6,116,sample description sorry,578
4,1,740,sample description sorry,685
8,2,156,sample description sorry,259
11,7,345,sample description sorry,181
11,1,266,sample description sorry,282
6,3,246,sample description sorry,246
1,4,384,sample description sorry,506
4,1,409,sample description sorry,657
3,5,363,sample description sorry,250
6,3,393,sample description sorry,80
1,5,778,sample description sorry,689
7,4,578,sample description sorry,215
3,1,908,sample description sorry,436
8,1,350,sample description sorry,171
2,4,814,sample description sorry,695
4,2,481,sample description sorry,181
4,7,815,sample description sorry,437
8,1,229,sample description sorry,637
2,3,468,sample description sorry,91
8,3,938,sample description sorry,15
1,2,494,sample description sorry,579
4,1,549,sample description sorry,460
8,3,11,sample description sorry,342
1,2,491,sample description sorry,349
5,5,456,sample description sorry,265
2,6,932,sample description sorry,518
2,4,434,sample description sorry,30
3,7,957,sample description sorry,625
8,7,377,sample description sorry,366
9,1,535,sample description sorry,485
5,2,681,sample description sorry,295
11,3,321,sample description sorry,511
2,3,611,sample description sorry,592
3,1,48,sample description sorry,426
7,5,674,sample description sorry,260
9,5,389,sample description sorry,638
10,6,197,sample description sorry,606
11,6,647,sample description sorry,173
10,6,448,sample description sorry,470
8,3,919,sample description sorry,656
10,4,656,sample description sorry,589
11,6,163,sample description sorry,686
1,5,956,sample description sorry,140
3,7,490,sample description sorry,651
6,1,808,sample description sorry,270
5,6,548,sample description sorry,272
2,3,104,sample description sorry,277
8,1,1012,sample description sorry,212
10,3,275,sample description sorry,160
11,1,205,sample description sorry,439
8,4,295,sample description sorry,231
9,1,786,sample description sorry,500
4,6,127,sample description sorry,344
1,3,10,sample description sorry,39
10,3,213,sample description sorry,216
3,4,749,sample description sorry,402
3,5,386,sample description sorry,377
7,5,387,sample description sorry,598
11,5,289,sample description sorry,10
6,6,895,sample description sorry,502
10,6,445,sample description sorry,397
3,7,230,sample description sorry,586
9,3,970,sample description sorry,417
5,7,600,sample description sorry,316
11,3,349,sample description sorry,207
2,5,453,sample description sorry,176
7,2,355,sample description sorry,204
1,7,381,sample description sorry,518
10,3,606,sample description sorry,623
9,7,104,sample description sorry,235
8,1,813,sample description sorry,568
9,2,27,sample description sorry,337
7,5,511,sample description sorry,212
8,4,255,sample description sorry,153
4,4,239,sample description sorry,473
4,1,882,sample description sorry,102
2,7,179,sample description sorry,96
2,4,410,sample description sorry,91
9,7,878,sample description sorry,170
8,2,370,sample description sorry,237
9,1,687,sample description sorry,276
3,1,442,sample description sorry,28
8,4,463,sample description sorry,557
4,7,78,sample description sorry,244
9,6,867,sample description sorry,240
4,2,703,sample description sorry,204
4,6,670,sample description sorry,168
1,1,959,sample description sorry,259
2,2,405,sample description sorry,423
4,3,300,sample description sorry,128
4,7,982,sample description sorry,44
11,3,329,sample description sorry,138
6,3,396,sample description sorry,326
8,5,942,sample description sorry,173
7,5,829,sample description sorry,700
8,7,664,sample description sorry,303
4,7,791,sample description sorry,699
2,1,12,sample description sorry,62
1,4,115,sample description sorry,513
11,6,533,sample description sorry,70
8,2,239,sample description sorry,165
5,2,466,sample description sorry,236
1,2,835,sample description sorry,539
2,6,170,sample description sorry,324
6,1,661,sample description sorry,617
9,2,58,sample description sorry,383
9,1,51,sample description sorry,576
9,5,573,sample description sorry,668
6,1,407,sample description sorry,477
10,5,880,sample description sorry,159
6,5,459,sample description sorry,38
3,6,577,sample description sorry,387
8,2,38,sample description sorry,491
2,6,593,sample description sorry,646
1,1,114,sample description sorry,227
3,1,160,sample description sorry,193
2,7,440,sample description sorry,417
6,4,668,sample description sorry,208
7,5,821,sample description sorry,348
3,5,246,sample description sorry,553
9,6,1013,sample description sorry,401
9,4,240,sample description sorry,617
3,4,967,sample description sorry,571
9,4,444,sample description sorry,300
1,5,904,sample description sorry,175
9,5,215,sample description sorry,428
8,5,537,sample description sorry,650
9,7,259,sample description sorry,5
7,6,606,sample description sorry,258
4,2,338,sample description sorry,602
6,7,821,sample description sorry,63
1,2,496,sample description sorry,351
10,2,679,sample description sorry,107
4,6,897,sample description sorry,37
7,7,776,sample description sorry,168
4,3,209,sample description sorry,250
9,4,429,sample description sorry,135
8,3,668,sample description sorry,553
4,5,415,sample description sorry,541
10,2,703,sample description sorry,191
1,3,207,sample description sorry,99
1,2,962,sample description sorry,499
2,4,460,sample description sorry,504
6,3,923,sample description sorry,103
10,6,770,sample description sorry,459
10,5,1002,sample description sorry,379
3,1,141,sample description sorry,495
3,6,221,sample description sorry,192
4,1,852,sample description sorry,192
8,1,954,sample description sorry,363
7,6,66,sample description sorry,660
3,2,792,sample description sorry,79
5,2,903,sample description sorry,477
10,5,826,sample description sorry,71
7,3,724,sample description sorry,344
7,7,918,sample description sorry,509
10,7,582,sample description sorry,661
9,1,273,sample description sorry,91
7,4,379,sample description sorry,186
9,4,85,sample description sorry,30
8,6,359,sample description sorry,552
9,1,436,sample description sorry,31
3,3,836,sample description sorry,610
11,1,124,sample description sorry,561
1,3,203,sample description sorry,209
8,1,289,sample description sorry,441
3,1,458,sample description sorry,588
4,2,42,sample description sorry,340
1,6,443,sample description sorry,204
8,2,382,sample description sorry,118
7,1,29,sample description sorry,696
11,2,900,sample description sorry,576
6,4,741,sample description sorry,470
5,1,137,sample description sorry,678
8,6,272,sample description sorry,307
8,4,740,sample description sorry,574
6,5,772,sample description sorry,23
11,5,199,sample description sorry,185
10,5,513,sample description sorry,516
9,2,3,sample description sorry,327
1,2,692,sample description sorry,506
3,4,65,sample description sorry,115
3,4,195,sample description sorry,646
11,5,425,sample description sorry,205
4,5,830,sample description sorry,308
2,4,341,sample description sorry,115
1,5,539,sample description sorry,151
4,3,837,sample description sorry,659
5,4,152,sample description sorry,478
10,2,490,sample description sorry,16
10,1,479,sample description sorry,203
5,7,460,sample description sorry,296
4,1,996,sample description sorry,572
10,5,43,sample description sorry,24
8,7,834,sample description sorry,484
1,2,937,sample description sorry,314
6,1,97,sample description sorry,662
1,3,689,sample description sorry,286
10,1,886,sample description sorry,368
8,7,486,sample description sorry,52
9,3,946,sample description sorry,534
1,4,836,sample description sorry,400
8,1,166,sample description sorry,151
6,2,604,sample description sorry,416
3,7,808,sample description sorry,147
6,6,29,sample description sorry,342
2,1,305,sample description sorry,621
7,4,465,sample description sorry,295
7,2,174,sample description sorry,85
10,6,953,sample description sorry,85
8,7,685,sample description sorry,598
10,5,603,sample description sorry,55
7,4,844,sample description sorry,463
10,7,30,sample description sorry,429
9,4,630,sample description sorry,642
6,4,994,sample description sorry,143
5,1,564,sample description sorry,313
10,5,702,sample description sorry,40
5,6,886,sample description sorry,638
2,2,586,sample description sorry,563
8,6,683,sample description sorry,70
6,1,91,sample description sorry,16
10,6,409,sample description sorry,545
10,6,819,sample description sorry,609
10,4,205,sample description sorry,27
7,1,79,sample description sorry,631
7,4,410,sample description sorry,568
3,7,96,sample description sorry,315
4,6,41,sample description sorry,540
3,2,883,sample description sorry,463
1,3,362,sample description sorry,204
1,1,846,sample description sorry,150
2,5,382,sample description sorry,523
3,4,742,sample description sorry,634
11,2,619,sample description sorry,624
3,2,541,sample description sorry,21
1,3,584,sample description sorry,383
9,1,998,sample description sorry,482
9,3,205,sample description sorry,512
7,5,468,sample description sorry,142
8,1,178,sample description sorry,296
5,6,227,sample description sorry,181
2,1,647,sample description sorry,482
3,2,46,sample description sorry,256
8,4,922,sample description sorry,127
5,7,56,sample description sorry,96
6,1,681,sample description sorry,105
11,6,810,sample description sorry,57
7,7,462,sample description sorry,296
1,6,253,sample description sorry,205
7,5,307,sample description sorry,255
11,7,142,sample description sorry,94
1,3,523,sample description sorry,490
4,4,560,sample description sorry,672
5,4,756,sample description sorry,383
2,1,325,sample description sorry,488
9,4,877,sample description sorry,382
10,4,280,sample description sorry,38
3,6,751,sample description sorry,369
10,2,101,sample description sorry,24
2,4,794,sample description sorry,481
5,4,510,sample description sorry,494
11,1,357,sample description sorry,192
8,6,777,sample description sorry,227
4,1,443,sample description sorry,580
10,2,256,sample description sorry,157
8,2,241,sample description sorry,420
8,7,981,sample description sorry,385
11,4,901,sample description sorry,9
1,5,336,sample description sorry,25
3,6,403,sample description sorry,458
8,2,793,sample description sorry,165
4,1,479,sample description sorry,249
9,2,646,sample description sorry,438
1,6,692,sample description sorry,630
7,1,18,sample description sorry,377
8,1,305,sample description sorry,320
7,7,527,sample description sorry,389
9,4,830,sample description sorry,428
8,7,986,sample description sorry,608
11,5,111,sample description sorry,108
11,1,394,sample description sorry,99
1,1,728,sample description sorry,669
11,7,183,sample description sorry,321
6,2,105,sample description sorry,613
9,1,461,sample description sorry,6
8,2,583,sample description sorry,64
4,5,359,sample description sorry,626
2,1,711,sample description sorry,250
4,5,393,sample description sorry,122
1,4,845,sample description sorry,73
11,1,249,sample description sorry,274
7,2,796,sample description sorry,408
8,4,447,sample description sorry,227
6,3,406,sample description sorry,374
11,7,824,sample description sorry,224
7,7,602,sample description sorry,120
1,3,976,sample description sorry,655
4,7,6,sample description sorry,394
3,2,498,sample description sorry,5
11,6,27,sample description sorry,526
11,5,763,sample description sorry,130
4,5,723,sample description sorry,133
7,4,640,sample description sorry,6
9,1,376,sample description sorry,174
2,3,63,sample description sorry,149
2,3,343,sample description sorry,401
3,4,522,sample description sorry,58
9,7,958,sample description sorry,77
5,6,28,sample description sorry,145
11,3,653,sample description sorry,246
9,7,909,sample description sorry,392
4,6,31,sample description sorry,339
4,1,596,sample description sorry,296
10,7,603,sample description sorry,380
1,3,573,sample description sorry,87
5,5,919,sample description sorry,497
5,6,936,sample description sorry,540
3,7,102,sample description sorry,107
7,3,918,sample description sorry,125
7,6,402,sample description sorry,35
6,1,495,sample description sorry,307
6,4,639,sample description sorry,607
9,3,875,sample description sorry,589
3,3,931,sample description sorry,625
8,3,454,sample description sorry,5
11,3,735,sample description sorry,161
2,1,660,sample description sorry,279
4,5,302,sample description sorry,672
4,5,771,sample description sorry,655
2,1,808,sample description sorry,439
3,2,260,sample description sorry,506
10,2,791,sample description sorry,34
9,5,174,sample description sorry,213
8,1,936,sample description sorry,56
2,4,852,sample description sorry,684
11,4,50,sample description sorry,411
11,3,203,sample description sorry,314
4,5,385,sample description sorry,500
5,3,601,sample description sorry,54
3,6,393,sample description sorry,112
6,5,581,sample description sorry,325
3,4,593,sample description sorry,637
9,5,244,sample description sorry,38
10,5,950,sample description sorry,3
2,5,115,sample description sorry,676
9,2,434,sample description sorry,698
11,3,768,sample description sorry,610
10,2,857,sample description sorry,158
11,5,388,sample description sorry,73
5,3,534,sample description sorry,510
5,3,474,sample description sorry,668
6,2,950,sample description sorry,585
8,4,230,sample description sorry,284
4,7,821,sample description sorry,47
1,6,994,sample description sorry,671
6,3,555,sample description sorry,371
6,3,685,sample description sorry,311
11,4,165,sample description sorry,260
10,2,415,sample description sorry,445
8,5,649,sample description sorry,232
2,3,317,sample description sorry,154
11,4,355,sample description sorry,213
9,5,868,sample description sorry,127
2,7,299,sample description sorry,453
8,2,980,sample description sorry,381
7,5,104,sample description sorry,652
10,2,708,sample description sorry,673
4,7,855,sample description sorry,636
1,3,278,sample description sorry,428
7,4,642,sample description sorry,686
4,4,175,sample description sorry,577
9,3,365,sample description sorry,554
7,1,433,sample description sorry,95
9,4,96,sample description sorry,381
2,7,531,sample description sorry,301
5,1,715,sample description sorry,341
8,1,544,sample description sorry,399
11,1,504,sample description sorry,177
5,5,907,sample description sorry,616
